T,IB_ane,IB,1B,B_diene,NB_ane,trans_B,cis_B,water,EtOH,TBA,ETBE,di_IB,tri_IB
303.15,1.8872208,0.04606520431875561,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.622548279550876,9.77267200523905,0.5961584204491241,10.723070094760956,4.746722440235584,1.283250258085323e-58
308.15,1.8872208,0.032497409745911136,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.872255354145484,9.308434088036071,0.34645134585452,11.187308011963925,4.646240916217819,9.770082484215851e-54
313.15,1.8872208,0.034956144992457874,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.9263356222845776,9.009763939318391,0.2923710777154196,11.48597816068161,4.5227166083052595,5.130401973835313e-49
318.15,1.8872208,0.05492783596445681,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.847394054697593,8.813668426282776,0.37131264530240965,11.682073673717225,4.375212222507952,1.8977640517183469e-44
323.15,1.8872208,0.09478576225510132,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.689813536108851,8.675175970781348,0.5288931638911437,11.820566129218653,4.207246772317551,5.083499465811493e-40
328.15,1.8872208,0.1602711473443923,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.478606975424763,8.607739938762863,0.7400997245752333,11.888002161237132,4.0351827834216225,1.029041730588395e-35
333.15,1.8872208,0.25917244718777654,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.230943068102131,8.70348582702405,0.9877636318978678,11.79225627297595,3.9097731239692064,1.6839011921466757e-31
338.15,1.8872208,0.3897249354421235,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,6.98818205088832,9.172711741631709,1.2305246491116804,11.323030358368289,3.9577293285389494,2.421378642364539e-27
343.15,1.8872208,0.5233603542234831,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,6.8248110840398475,10.35339352550078,1.3938956159601545,10.142348574499218,4.399567027658581,3.214223387406746e-23
348.15,1.8872208,0.610663151804003,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,6.798927717269972,12.470394613583712,1.4197789827300302,8.025347486416289,5.4014744895248405,3.7851290502856965e-19
353.15,1.8872208,0.6287454880852131,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,6.902291332570451,15.223096745949487,1.316415367429541,5.272645354050515,6.82046619521736,3.522631613455292e-15
358.15,1.8872208,0.5808391160984906,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.097317224801549,17.85674157946528,1.121389475198451,2.6390005205347045,8.258754744072489,2.3372238104235755e-11
363.15,1.8872208,0.463618463374482,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.396048966397252,19.57736520635351,0.8226577336027358,0.9183768936464979,9.327042701631603,1.061130942408333e-07
368.15,1.8872208,0.3174816968996058,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.7097151775237345,20.177267221641095,0.5089915224762656,0.31847487835892263,9.856729238373205,0.00033202551878992807
373.15,1.8872208,0.2021891882449508,5.6450819,0.1960731,0.1644988,0.0281706,0.001908,7.936773935742252,20.36695190823595,0.28193276425773817,0.12879019176407583,9.772840691094494,0.70014507354426
