z,T,P,Q,IB_ane,IB,1B,B_diene,NB_ane,trans_B,cis_B,water,EtOH,TBA,ETBE,di_IB,tri_IB
8.625413929753448,351.9388615395539,2195.8528389004273,8.354113461538462e-06,0.0036292707692307693,0.005341664110231481,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.00713685433934644,0.02148093585264582,0.008668350852961254,0.01793395280120033,0.004084495540880388,3.974686974550065e-21
8.62696749854483,351.93858547931524,2195.8521378111286,8.354113461538462e-06,0.0036292707692307693,0.005340675196891636,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007137613757314654,0.021479436750322,0.00866759143499304,0.01793545190352415,0.004084620155372508,3.9772922735345445e-21
8.628521067336212,351.9383084963033,2195.8514367259636,8.354113461538462e-06,0.0036292707692307693,0.005339686656494954,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.00713837306772072,0.02147793799001696,0.008666832124586975,0.01793695066382919,0.004084744700621362,3.9798953512933144e-21
8.630074636127594,351.9380305910812,2195.850735644925,8.354113461538462e-06,0.0036292707692307693,0.005338698489077185,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007139132270654876,0.021476439571763987,0.008666072921652817,0.017938449082082163,0.004084869176670838,3.9824962053335534e-21
8.631628204918977,351.93775176421076,2195.8500345680045,8.354113461538462e-06,0.0036292707692307693,0.005337710694673125,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007139891366206649,0.0214749414955961,0.008665313826101046,0.01793994715825005,0.00408499358356481,3.985094833171163e-21
8.633181773710358,351.9374720162528,2195.8493334951954,8.354113461538462e-06,0.0036292707692307693,0.00533672327331662,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007140650354464839,0.021473443761546057,0.008664554837842856,0.017941444892300092,0.004085117921347136,3.987691232330766e-21
8.63473534250174,351.93719134776677,2195.8486324264895,8.354113461538462e-06,0.0036292707692307693,0.005335736225040558,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.0071414092355175365,0.021471946369646347,0.008663795956790158,0.017942942284199802,0.00408524219006166,3.990285400345716e-21
8.636288911293123,351.9369097593111,2195.8479313618795,8.354113461538462e-06,0.0036292707692307693,0.005334749549876877,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007142168009452114,0.02147044931992919,0.00866303718285558,0.01794443933391696,0.004085366389752211,3.992877334758096e-21
8.637842480084505,351.936627251443,2195.8472303013577,8.354113461538462e-06,0.0036292707692307693,0.0053337632478565634,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007142926676355223,0.021468952612426546,0.00866227851595247,0.017945936041419603,0.004085490520462602,3.995467033118705e-21
8.639396048875888,351.9363438247185,2195.8465292449173,8.354113461538462e-06,0.0036292707692307693,0.0053327773190096454,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007143685236312803,0.021467456247170103,0.008661519955994892,0.017947432406676046,0.004085614582236629,3.998054492987077e-21
8.64094961766727,351.9360594796925,2195.8458281925496,8.354113461538462e-06,0.0036292707692307693,0.0053317917633652024,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007144443689410071,0.02146596022419129,0.008660761502897622,0.017948928429654863,0.0040857385751180775,4.000639711931464e-21
8.64250318645865,351.9357742169188,2195.845127144248,8.354113461538462e-06,0.0036292707692307693,0.005330806580951359,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007145202035731533,0.021464464543521255,0.008660003156576161,0.017950424110324895,0.004085862499150714,4.00322268752885e-21
8.644056755250034,351.93548803694983,2195.8444261000045,8.354113461538462e-06,0.0036292707692307693,0.005329821771795285,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007145960275360974,0.021462969205190897,0.00865924491694672,0.017951919448655252,0.004085986354378291,4.005803417364948e-21
8.645610324041415,351.93520094033704,2195.843725059812,8.354113461538462e-06,0.0036292707692307693,0.005328837335923202,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007146718408381462,0.021461474209230835,0.008658486783926233,0.017953414444615314,0.0040861101408445465,4.0083818990341844e-21
8.647163892832797,351.93491292763065,2195.8430240236635,8.354113461538462e-06,0.0036292707692307693,0.005327853273360373,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.00714747643487535,0.021459979555671433,0.008657728757432344,0.017954909098174716,0.004086233858593203,4.010958130139722e-21
8.64871746162418,351.93462399937977,2195.84232299155,8.354113461538462e-06,0.0036292707692307693,0.005326869584131109,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007148234354924273,0.021458485244542774,0.008656970837383421,0.017956403409303375,0.004086357507667968,4.01353210829345e-21
8.650271030415562,351.93433415613225,2195.8416219634655,8.354113461538462e-06,0.0036292707692307693,0.005325886268258771,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007148992168609147,0.021456991275874693,0.008656213023698546,0.017957897377971457,0.004086481088112533,4.016103831115974e-21
8.651824599206943,351.93404339843477,2195.8409209394017,8.354113461538462e-06,0.0036292707692307693,0.005324903325765765,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007149749876010175,0.02145549764969674,0.008655455316297519,0.017959391004149408,0.004086604599970575,4.018673296236635e-21
8.653378167998326,351.933751726833,2195.840219919352,8.354113461538462e-06,0.0036292707692307693,0.005323920756673541,0.01085592673076923,0.00037706365384615383,0.00031634384615384617,5.417423076923077e-05,3.669230769230769e-06,0.007150507477206842,0.021454004366038212,0.008654697715100853,0.017960884287807937,0.004086728043285756,4.0212405012935e-21
